;ev_load_shifting_z1;ev_load_shifting_z2;ev_load_shifting_z3;ev_load_shifting_z4;ev_load_shifting_z5;ev_load_shifting_z6
138;4709.11766;7061.021572;2663.884125;5135.470908;6160.613418;3569.48094
139;4491.658405;6840.0358;2573.11474;4868.48924;5801.916858;3297.71958
140;4176.717415;6461.203048;2470.50587;4585.802768;5254.904604;3454.50498
141;4244.20477;6187.601616;2434.987415;4452.311934;5362.513572;3344.7552
142;3996.751135;5945.56958;2281.07411;4059.691834;5030.719254;3036.41058
143;3554.33403;5377.320452;2060.07039;3549.285704;4420.935102;2665.3518
144;3059.42676;4651.224344;1807.49471;3101.69879;3757.346466;2351.781
145;2721.989985;4082.975216;1614.116455;2591.29266;3147.562314;1771.67502
146;2107.105195;3314.78658;1373.38026;2096.591334;2394.299538;1677.60378
147;1979.62908;2778.106848;1298.396855;1900.281284;2188.049016;1510.36602
148;1837.155775;2493.982284;1235.252935;1727.52844;1990.765908;1426.74714
149;1784.66561;2262.47338;1227.359945;1758.938048;1892.124354;1557.40164
150;1964.63189;2315.08904;1393.112735;2426.392218;2107.34229;1949.36514
151;2662.001225;3346.355976;1665.42089;3227.337222;3057.888174;2534.6973
152;3576.829815;4440.761704;2052.1774;4122.51105;4053.271128;3072.99384
153;4334.18791;5661.445016;2352.11102;4884.194044;4958.979942;3318.6243
154;4679.12328;6587.480632;2573.11474;5598.762626;5523.927024;3924.86118
155;5264.01369;7723.978888;2805.957945;6101.316354;6375.831354;3736.7187
156;4896.582535;8144.904168;2727.028045;6062.054344;6133.711176;3768.07578
157;4799.1008;8123.857904;2754.65351;6297.626404;6259.254972;3982.34916
158;4941.574105;8523.73692;2821.743925;6533.198464;6608.984118;3804.65904
159;4754.10923;8734.19956;2845.422895;6682.394102;6591.04929;4071.19422
160;5106.543195;9081.462916;3015.12218;6823.737338;7084.25706;4018.93242
161;5039.05584;9281.402424;2750.707015;5944.268314;7066.322232;3559.02858
162;4536.649975;7734.50202;2616.526185;5567.353018;5613.601164;3705.36162
163;4716.616255;7429.331192;2667.83062;5606.615028;5882.623584;3956.21826
164;5046.554435;7576.65504;2746.76052;5496.6814;6115.776348;3836.01612
165;4761.607825;7303.053608;2588.90072;5080.504094;5775.014616;3741.94488
166;4461.664025;6787.42014;2403.415455;4632.91718;5407.350642;3323.85048
167;3869.27502;6103.41656;2142.946785;4020.429824;4636.153038;2952.7917
168;3389.36494;5314.18166;1874.585125;3376.53286;3990.49923;2309.97156
169;2684.49701;2935.953828;1030.035195;1641.152018;2466.03885;1024.33128
170;1919.64032;2073.057004;730.101575;1060.07427;1712.776074;627.1416
171;1282.259745;1283.822104;540.669815;738.125788;1129.894164;689.85576
172;1357.245695;1010.220672;564.348785;753.830592;1147.828992;632.36778
173;1289.75834;989.174408;552.5093;855.911818;1058.154852;663.72486
174;1417.234455;999.69754;741.94106;1201.417506;1156.796406;1212.47376
175;2497.032135;1725.793648;1140.537055;1955.248098;1927.99401;1933.6866
176;3801.787665;2851.768772;1657.5279;2881.831534;3066.855588;2660.12562
177;5084.04741;4051.40582;2174.518745;3737.743352;4098.108198;3339.52902
178;6096.357735;5229.996604;2482.345355;4193.182668;4958.979942;3329.07666
179;5818.90972;5587.783092;2521.810305;4342.378306;4833.436146;3485.86206
180;5886.397075;5861.384524;2561.275255;4468.016738;5120.393394;3642.64746
181;5991.377405;6019.231504;2577.061235;4491.573944;5299.741674;3616.51656
182;5773.91815;6019.231504;2478.39886;4310.968698;5147.295636;3402.24318
183;5361.495425;5703.537544;2328.43205;4067.544236;4860.338388;3433.60026
184;5196.526335;5419.41298;2277.127615;4004.72502;4752.72942;3323.85048
185;5144.03617;5293.135396;2170.57225;3745.595754;4680.990108;3156.61272
186;4979.06708;4914.302644;2202.14421;3965.46301;4609.250796;3825.56376
187;5886.397075;5503.598036;2502.07783;4444.459532;5640.503406;3836.01612
188;5931.388645;5956.092712;2529.703295;4452.311934;5667.405648;3935.31354
189;5946.385835;6040.277768;2486.29185;4208.887472;5622.568578;3444.05262
190;5129.03898;5650.921884;1992.979975;3400.090066;4833.436146;2336.10246
191;3899.2694;4356.576648;1582.544495;2669.81668;3658.704912;2012.0793
192;3344.37337;3514.726088;1286.55737;2025.919716;3048.92076;1170.66432
193;2152.096765;2462.412888;816.924465;1209.269908;1910.059182;841.41498
194;1657.189495;1536.377272;639.33219;895.173828;1434.78624;710.76048
195;1447.228835;1147.021388;576.18827;777.387798;1219.568304;705.5343
196;1447.228835;1031.266936;588.027755;808.797406;1192.666062;768.24846
197;1574.70495;1083.882596;663.01116;1130.745888;1264.405374;992.9742
198;2114.60379;1399.576556;1156.323035;2065.181726;1712.776074;2336.10246
199;4649.1289;3072.754544;1894.3176;3305.861242;3703.541982;3135.708
200;6006.374595;4693.316872;2154.78627;3494.31889;4967.947356;2785.55394
201;5264.01369;4630.17808;1846.95966;2999.617564;4474.739586;2278.61448
202;4311.692125;3904.081972;1582.544495;2630.55467;3820.118364;2252.48358
203;4169.21882;3504.202956;1665.42089;2858.274328;3838.053192;2539.92348
204;4484.15981;3914.605104;1744.35079;2999.617564;4277.456478;2456.3046
205;4304.19353;3988.267028;1685.153365;2913.241142;4151.912682;2471.98314
206;4281.697745;3914.605104;1657.5279;2858.274328;4160.880096;2424.94752
207;4131.725845;3809.373784;1629.902435;2819.012318;4062.238542;2555.60202
208;4259.20196;3788.32752;1716.725325;3007.469966;4205.717166;2832.58956
209;4709.11766;4093.498348;1835.120175;3203.780016;4636.153038;2973.69642
210;4941.574105;4325.007252;2016.658945;3572.84291;4887.24063;3240.2316
211;5264.01369;4872.210116;2111.374825;3722.038548;5308.709088;3130.48182
212;5091.546005;4966.918304;2087.695855;3682.776538;5093.491152;3177.51744
213;5084.04741;4977.441436;2087.695855;3549.285704;5039.686668;2879.62518
214;4671.624685;4735.4094;1728.56481;2960.355554;4582.348554;2210.67414
215;3741.798905;3861.989444;1408.898715;2316.45859;3577.998186;1620.1158
216;2789.47734;2946.47696;1057.66066;1633.299616;2600.55006;1228.1523
217;2137.099575;2083.580136;820.87096;1170.007898;1936.961424;883.22442
218;1657.189495;1483.761612;639.33219;855.911818;1461.688482;747.34374
219;1439.73024;1104.92886;576.18827;753.830592;1264.405374;747.34374
220;1439.73024;999.69754;588.027755;785.2402;1246.470546;804.83172
221;1574.70495;1041.790068;666.957655;1052.221868;1309.242444;1034.78364
222;2092.108005;1368.00716;1148.430045;1994.510108;1775.547972;2341.32864
223;4604.13733;2957.000092;1898.264095;3195.927614;3855.98802;3146.16036
224;6036.368975;4524.94676;2162.67926;3423.647272;5147.295636;2769.8754
225;5279.01088;4535.469892;1850.906155;2952.503152;4546.478898;2283.84066
226;4356.683695;3830.420048;1590.437485;2599.145062;3820.118364;2262.93594
227;4206.711795;3451.587296;1677.260375;2834.717122;3775.281294;2534.6973
228;4559.14576;3893.55884;1760.13677;2991.765162;4160.880096;2477.20932
229;4386.678075;3977.743896;1700.939345;2913.241142;4044.303714;2477.20932
230;4371.680885;3914.605104;1681.20687;2866.12673;4062.238542;2404.0428
231;4221.708985;3819.896916;1657.5279;2850.421926;3972.564402;2555.60202
232;4364.18229;3819.896916;1748.297285;3038.879574;4142.945268;2822.1372
233;4844.09237;4146.114008;1850.906155;3243.042026;4528.54407;2958.01788
234;5016.560055;4377.622912;2024.551935;3596.400116;4779.631662;3219.32688
235;5376.492615;4903.779512;2119.267815;3753.448156;5245.93719;3109.5771
236;5174.03055;5009.010832;2091.64235;3722.038548;5021.75184;3156.61272
237;5189.02774;5030.057096;2095.588845;3619.957322;4967.947356;2890.07754
238;4806.599395;4819.594456;1732.511305;2983.91276;4528.54407;2231.57886
239;3801.787665;3883.035708;1416.791705;2308.606188;3542.12853;1625.34198
240;2841.967505;2935.953828;1057.66066;1656.856822;2555.71299;1207.24758
241;2212.085525;2125.672664;812.97797;1201.417506;1847.287284;872.77206
242;1724.67685;1515.331008;639.33219;879.469024;1380.981756;731.6652
243;1499.719;1136.498256;572.241775;769.535396;1174.731234;731.6652
244;1499.719;1031.266936;584.08126;808.797406;1156.796406;789.15318
245;1627.195115;1073.359464;663.01116;1075.779074;1228.535718;1013.87892
246;2174.59255;1399.576556;1148.430045;2073.034128;1676.906418;2299.5192
247;4739.11204;3062.231412;1898.264095;3274.451634;3927.727332;3109.5771
248;6231.332445;4609.131816;2170.57225;3478.614086;5066.58891;2801.23248
249;5458.97716;4619.654948;1854.85265;2944.65075;4537.511484;2309.97156
250;4469.16262;3830.420048;1594.38398;2504.916238;3811.15095;2289.06684
251;4274.19915;3346.355976;1681.20687;2716.931092;3739.411638;2576.50674
252;4596.638735;3746.234992;1771.976255;2921.093544;4196.749752;2482.4355
253;4371.680885;3893.55884;1712.77883;2842.569524;4133.977854;2498.11404
254;4326.689315;3819.896916;1685.153365;2803.307514;4178.814924;2430.1737
255;4146.723035;3735.71186;1653.581405;2795.455112;4116.043026;2555.60202
256;4266.700555;3756.758124;1732.511305;2968.207956;4277.456478;2822.1372
257;4709.11766;4061.928952;1831.17368;3156.665604;4707.89235;2973.69642
258;4881.585345;4261.86846;2024.551935;3549.285704;4914.142872;3219.32688
259;5316.503855;4840.64072;2135.053795;3722.038548;5362.513572;3104.35092
260;5189.02774;4966.918304;2115.32132;3674.924136;5138.328222;3156.61272
261;5219.02212;4966.918304;2127.160805;3580.695312;5084.523738;2879.62518
262;4836.593775;4766.978796;1740.404295;2944.65075;4636.153038;2142.7338
263;3839.28064;3819.896916;1420.7382;2277.19658;3658.704912;1562.62782
264;2871.961885;2893.8613;1061.607155;1625.447214;2609.517474;1202.0214
265;2189.58974;2073.057004;812.97797;1162.155496;1927.99401;862.3197
266;1694.68247;1462.715348;635.385695;855.911818;1434.78624;726.43902
267;1477.223215;1094.405728;572.241775;745.97819;1219.568304;731.6652
268;1469.72462;999.69754;584.08126;785.2402;1201.633476;789.15318
269;1589.70214;1041.790068;659.064665;1052.221868;1273.372788;1019.1051
270;2114.60379;1357.484028;1152.37654;1994.510108;1730.710902;2346.55482
271;4649.1289;2967.523224;1894.3176;3227.337222;3793.216122;3172.29126
272;6096.357735;4556.516156;2162.67926;3439.352076;5120.393394;2796.0063
273;5368.99402;4556.516156;1866.692135;2913.241142;4573.38114;2283.84066
274;4439.16824;3788.32752;1606.223465;2544.178248;3838.053192;2273.3883
275;4289.19634;3388.448504;1693.046355;2756.193102;3820.118364;2550.37584
276;4671.624685;3798.850652;1795.655225;2991.765162;4268.489064;2456.3046
277;4491.658405;3988.267028;1732.511305;2921.093544;4142.945268;2471.98314
278;4469.16262;3925.128236;1708.832335;2881.831534;4169.84751;2388.36426
279;4319.19072;3840.94318;1681.20687;2858.274328;4080.17337;2508.5664
280;4469.16262;3840.94318;1771.976255;3031.027172;4232.619408;2785.55394
281;4926.576915;4125.067744;1854.85265;3188.075212;4627.185624;2937.11316
282;5009.06146;4282.914724;2028.49843;3549.285704;4752.72942;3229.77924
